11:55 AM,MU2507,Wuhan(WUH),China Eastern Airlines,B738(B-1513),,Landed11:34 AM
12:00 PM,FM9246,Nanchang(KHN),Shanghai Airlines,B738(B-7863),,Landed11:54 AM
12:00 PM,HO1124,Changsha(CSX),Juneyao Air (All Red Livery),A321(B-1808),,Landed12:41 PM
12:05 PM,KA838,Hong Kong(HKG),Cathay Dragon,A333(B-HLI),,Landed11:47 AM
12:10 PM,FM9308,Guangzhou(CAN),Shanghai Airlines,B738(B-1265),,Landed12:24 PM
12:15 PM,MU2153,Xi'an(XIY),China Eastern Airlines,A320(B-2372),,Landed12:00 PM
12:15 PM,MU5106,Beijing(PEK),China Eastern Airlines,A333(B-300Q),,Landed12:04 PM
12:15 PM,NH969,Tokyo(HND),All Nippon Airways,B788(JA834A),,Landed11:53 AM
12:20 PM,CZ3531,Guangzhou(CAN),China Southern Airlines,B77W(B-2099),,Landed12:28 PM
12:25 PM,HO1132,Taiyuan(TYN),Juneyao Air,A320(B-6670),,Landed12:24 PM
12:25 PM,SC8743,Qingdao(TAO),Shandong Airlines,B738(B-5348),,Landed11:57 AM
12:25 PM,9C8918,Shenzhen(SZX),Spring Airlines,A320(B-6646),,Landed12:12 PM
12:30 PM,MU9719,Lijiang(LJG),China Eastern Airlines (Yunnan Peacock Livery),B737(B-6141),,Landed12:09 PM
12:35 PM,MU2433,Luoyang(LYA),China Eastern Airlines,A321(B-8979),,Landed3:02 PM
12:40 PM,CA1531,Beijing(PEK),Air China,B77W(B-2086),,Landed12:22 PM
12:40 PM,MU5336,Shenzhen(SZX),China Eastern Airlines,A332(B-5926),,Landed12:50 PM
12:40 PM,MU5404,Chengdu(CTU),China Eastern Airlines,A321(B-8396),,Landed12:49 PM
12:45 PM,MF8567,Xiamen(XMN),Xiamen Air,B738(B-5751),,Landed1:45 PM
12:45 PM,MU5396,Zhengzhou(CGO),China Eastern Airlines,A320(B-6713),,Landed12:38 PM
12:45 PM,9C8820,Zhuhai(ZUH),Spring Airlines,A320(B-1670),,Landed12:47 PM
12:50 PM,CZ6995,Urumqi(URC),China Southern Airlines,B738(B-5759),,Landed1:05 PM
12:50 PM,HO1086,Zunyi(WMT),Juneyao Air,A320(B-6640),,Landed12:45 PM
12:55 PM,NX110,Macau(MFM),Air Macau (Macau Welcomes You Livery),A321(B-MBM),,Landed1:02 PM
12:55 PM,FM9264,Xiamen(XMN),Shanghai Airlines,B738(B-1332),,Landed1:05 PM
12:55 PM,MU512,Seoul(GMP),China Eastern Airlines,A333(B-6083),,Landed12:37 PM
1:00 PM,MU5364,Changsha(CSX),China Eastern Airlines,A20N(B-303F),,Landed1:58 PM
1:00 PM,9C8608,Zhangjiakou(ZQZ),Spring Airlines,A320(B-6751),,Landed2:02 PM
1:05 PM,MU5302,Guangzhou(CAN),China Eastern Airlines,B738(B-1486),,Landed1:09 PM
1:05 PM,9C8836,Guangzhou(CAN),Spring Airlines,A320(B-8247),,Landed1:15 PM
1:10 PM,TV9865,Chengdu(CTU),Tibet Airlines,A332(B-1047),,Landed1:07 PM
1:10 PM,FM9164,Taiyuan(TYN),China Eastern Airlines,B738(B-1317),,Landed1:01 PM
1:15 PM,MU2155,Xi'an(XIY),China Eastern Airlines,A321(B-8163),,Landed1:22 PM
1:20 PM,8L9887,Yichun(YIC),Lucky Air,A20N(B-1361),,Landed12:58 PM
1:20 PM,MU5108,Beijing(PEK),China Eastern Airlines,A333(B-304A),,Landed1:05 PM
1:20 PM,HO1112,Shenzhen(SZX),Juneyao Air,B789(B-1115),,Landed1:35 PM
1:25 PM,CZ3537,Guangzhou(CAN),China Southern Airlines,B77W(B-7183),,Landed1:53 PM
1:25 PM,SC4663,Qingdao(TAO),Shandong Airlines,B738(B-1273),,Landed12:45 PM
1:30 PM,HO1158,Zhuhai(ZUH),Juneyao Air,A321(B-8587),,Landed1:39 PM
1:30 PM,MU5518,Qingdao(TAO),China Eastern Airlines,A321(B-8648),,Landed1:55 PM
1:30 PM,SC4863,Yantai(YNT),Shandong Airlines (Jinan - City of Springs Livery),B738(B-5451),,Landed1:12 PM
1:35 PM,FM9464,Guiyang(KWE),Shanghai Airlines,B738(B-5692),,Landed1:32 PM
1:40 PM,CA1557,Beijing(PEK),Air China,B77W(B-2036),,Landed1:16 PM
1:40 PM,FM9148,Tianjin(TSN),China Eastern Airlines,B738(B-208Z),,Landed2:14 PM
1:45 PM,MU5338,Shenzhen(SZX),China Eastern Airlines,A333(B-5969),,Landed2:11 PM
1:45 PM,HO1218,Xi'an(XIY),Juneyao Air,A321(B-8537),,Landed1:31 PM
1:50 PM,9C8898,Chongqing(CKG),Spring Airlines,A320(B-8012),,Landed1:38 PM
1:55 PM,MF8378,Shenzhen(SZX),Xiamen Air,B738(B-5488),,Landed2:07 PM
1:55 PM,FM9220,Urumqi(URC),Shanghai Airlines,B738(B-1453),,Landed2:20 PM
1:55 PM,HO1208,Guiyang(KWE),Juneyao Air,A321(B-8315),,Landed1:56 PM
2:00 PM,FM9304,Guangzhou(CAN),Shanghai Airlines,B738(B-6698),,Landed2:29 PM
2:00 PM,ZH9507,Shenzhen(SZX),Shenzhen Airlines,A320(B-6721),,Landed3:04 PM
2:05 PM,MF8581,Chongqing(CKG),Xiamen Air,B738(B-1709),,Landed2:24 PM
2:05 PM,CZ6981,Urumqi(URC),China Southern Airlines,B788(B-2726),,Landed2:10 PM
2:10 PM,MU5805,Kunming(KMG),China Eastern Airlines (Yunnan Peacock Livery),B738(B-1702),,Landed3:25 PM
2:15 PM,CI201,Taipei(TSA),China Airlines,A333(B-18309),,Landed1:52 PM
2:15 PM,FM9340,Nanning(NNG),Shanghai Airlines,B738(B-7862),,Landed2:28 PM
2:15 PM,MU2157,Xi'an(XIY),China Eastern Airlines,A321(B-8562),,Landed1:57 PM
2:15 PM,MU2386,Xi'an(XIY),China Eastern Airlines,320,,Unknown
2:20 PM,MU5110,Beijing(PEK),China Eastern Airlines(Disneyland Shanghai Livery),A333(B-5976),,Landed2:05 PM
2:20 PM,FM9538,Sanya(SYX),China Eastern Airlines (Skyteam Livery),A321(B-8976),,Landed2:17 PM
2:25 PM,CZ3539,Guangzhou(CAN),China Southern Airlines,B77W(B-7185),,Landed2:54 PM
2:25 PM,FM9422,Chongqing(CKG),Shanghai Airlines,B738(B-1740),,Landed2:40 PM
2:30 PM,FM9514,Zhuhai(ZUH),Shanghai Airlines,B738(B-5393),,Landed3:08 PM
2:35 PM,CZ3557,Shenzhen(SZX),China Southern Airlines,A320(B-9917),,Landed3:38 PM
2:40 PM,MU722,Hong Kong(HKG),China Eastern Airlines,A321(B-2420),,Landed2:21 PM
2:45 PM,FM9332,Shenzhen(SZX),Shanghai Airlines,A333(B-6097),,Landed3:18 PM
2:45 PM,MU5540,Anqing(AQG),China Eastern Airlines,A320(B-9973),,Landed2:50 PM
2:50 PM,CZ6989,Urumqi(URC),China Southern Airlines,B738(B-1365),,Landed3:29 PM
2:50 PM,MF8521,Xiamen(XMN),Xiamen Air,B738(B-5301),,Landed2:22 PM
2:50 PM,MU5666,Xiamen(XMN),China Eastern Airlines,A321(B-6925),,Landed2:57 PM
2:55 PM,FM9310,Guangzhou(CAN),China Eastern Airlines,A333(B-6506),,Landed3:46 PM
2:55 PM,MU5204,Liuzhou(LZH),China Eastern Airlines,A320(B-6399),,Landed3:36 PM
3:00 PM,FM9214,Lanzhou(LHW),Shanghai Airlines,B738(B-1949),,Landed2:51 PM
3:00 PM,MU2521,Wuhan(WUH),"China Eastern Airlines (Tujia, Enshi Livery)",B738(B-5475),,Landed2:29 PM
3:05 PM,HO1120,Chengdu(CTU),Juneyao Air (Chinese Peony Livery),B789(B-209R),,Landed3:04 PM
3:10 PM,MU5408,Chengdu(CTU),China Eastern Airlines,A332(B-5936),,Landed3:12 PM
3:10 PM,MU9980,Qingdao(TAO),China Eastern Airlines,A321(B-8651),,Landed2:59 PM
3:15 PM,MU5112,Beijing(PEK),China Eastern Airlines,B77W(B-7868),,Landed2:57 PM
3:15 PM,MU5807,Kunming(KMG),China Eastern Airlines,A332(B-5920),,Landed4:20 PM
3:15 PM,MU5892,Kunming(KMG),China Eastern Airlines,737,,Unknown
3:15 PM,MU5932,Kunming(KMG),China Eastern Airlines,737,,Unknown
3:15 PM,SC4669,Qingdao(TAO),Shandong Airlines,B738(B-5758),,Landed3:14 PM
3:20 PM,FM9208,Xi'an(XIY),Shanghai Airlines,B738(B-5461),,Landed3:09 PM
3:20 PM,MF8585,Fuzhou(FOC),Xiamen Air,B738(B-5533),,Landed3:15 PM
3:20 PM,ZH9511,Shenzhen(SZX),Shenzhen Airlines,A333(B-1072),,Landed4:04 PM
3:25 PM,CZ3525,Guangzhou(CAN),China Southern Airlines,B77W(B-2048),,Landed3:44 PM
